user,hold_time,press_press_time,press_release_time
stefan,86640.5,158969.5,72329.0
stefan,89526.375,198211.875,108685.5
stefan,108859.0,408943.6666666667,300084.6666666667
stefan,116293.73333333334,211824.4,95530.66666666667
stefan,110553.875,138567.625,28013.75
stefan,92433.0,90974.0,-1459.0
stefan,109555.0,256758.0,147203.0
stefan,108317.0,153986.0,45669.0
stefan,95715.4,118012.4,22297.0
stefan,122584.44444444444,130047.77777777778,7463.333333333333
stefan,100859.33333333333,145695.0,44835.666666666664
stefan,93640.28571428571,128013.85714285714,34373.57142857143
stefan,106695.33333333333,241390.0,134694.66666666666
stefan,100908.75,118343.5,17434.75
stefan,102644.0,169360.0,66716.0
stefan,98061.57142857143,141408.0,43346.42857142857
stefan,118014.84615384616,192069.07692307694,74054.23076923077
stefan,105199.66666666667,210284.0,105084.33333333333
stefan,125336.16666666667,129366.66666666667,4030.5
stefan,147042.8,275459.8,128417.0
stefan,109655.0,134663.6,25008.6
stefan,105868.4,399024.4,293156.0
stefan,148342.57142857142,222722.42857142858,74379.85714285714
stefan,85702.75,462351.25,376648.5
stefan,92637.75,226525.375,133887.625
stefan,100124.0,135167.33333333334,35043.333333333336
stefan,93302.92307692308,226478.6923076923,133175.76923076922
stefan,105110.5,133314.5,28204.0
stefan,103898.55555555556,354660.55555555556,250762.0
stefan,108017.0,111650.6,3633.6
stefan,93838.42857142857,138516.85714285713,44678.42857142857
stefan,118630.4,133603.2,14972.8
stefan,103812.5,174209.0,70396.5
stefan,109713.16666666667,161355.0,51641.833333333336
stefan,117177.0,173005.33333333334,55828.333333333336
stefan,100850.5,153857.125,68354.125
