user,hold_time,press_press_time,press_release_time
alex,10314910.0,703718.0,-9611192.0
alex,7749994.0,89685.0,-7660309.0
alex,11684820.0,256107.0,-11428713.0
alex,8562304.0,211177.0,-8351127.0
alex,5724507.0,129300.0,-5595207.0
alex,11806678.0,975611.0,-10831067.0
alex,563770.0,43838.0,-519932.0
alex,180327.0,4185226.0,4004899.0
alex,375050.0,484390.0,109340.0
alex,93717.0,171840.0,78123.0
alex,78102.0,187439.0,109337.0
alex,124988.0,124988.0,0.0
alex,93714.0,546748.0,453034.0
alex,93590.0,281174.0,187584.0
alex,140598.0,93738.0,-46860.0
alex,156203.0,187446.0,31243.0
alex,109355.0,218574.0,109219.0
alex,171966.0,171966.0,0.0
alex,124954.0,62483.0,-62471.0
alex,140595.0,140595.0,0.0
alex,127191.0,1095728.0,968537.0
alex,124956.0,218702.0,93746.0
alex,93727.0,156202.0,62475.0
alex,93737.0,203088.0,109351.0
alex,109213.0,93595.0,-15618.0
alex,140724.0,312560.0,171836.0
alex,124960.0,140586.0,15626.0
alex,109343.0,124973.0,15630.0
alex,140583.0,249943.0,109360.0
alex,140581.0,190839.0,50258.0
alex,82276.0,97892.0,15616.0
alex,109370.0,343688.0,234318.0
alex,62485.0,93723.0,31238.0
alex,140601.0,203082.0,62481.0
alex,124952.0,140571.0,15619.0
alex,140608.0,328070.0,187462.0
alex,95730.0,502021.0,406291.0
alex,124959.0,171821.0,46862.0
alex,124991.0,109341.0,-15650.0
alex,140602.0,203087.0,62485.0
alex,124976.0,156208.0,31232.0
alex,203086.0,140606.0,-62480.0
alex,156206.0,234323.0,78117.0
alex,124961.0,140577.0,15616.0
alex,140602.0,124983.0,-15619.0
alex,171819.0,109347.0,-62472.0
alex,124975.0,140581.0,15606.0
alex,187450.0,109342.0,-78108.0
alex,140613.0,281199.0,140586.0
alex,77982.0,171839.0,93857.0
alex,124955.0,93721.0,-31234.0
alex,140599.0,156210.0,15611.0
alex,93731.0,374931.0,281200.0
alex,124949.0,124949.0,0.0
alex,124883.0,109353.0,-15530.0
alex,203080.0,171847.0,-31233.0
alex,171823.0,109327.0,-62496.0
alex,156230.0,328071.0,171841.0
alex,109345.0,109345.0,0.0
alex,109252.0,78090.0,-31162.0
alex,109370.0,171751.0,62381.0
alex,140684.0,78190.0,-62494.0
alex,124986.0,218718.0,93732.0
alex,62353.0,156214.0,93861.0
alex,62478.0,140574.0,78096.0
alex,62502.0,140603.0,78101.0
alex,62482.0,171839.0,109357.0
alex,109339.0,93722.0,-15617.0
alex,171837.0,93713.0,-78124.0
alex,187467.0,109372.0,-78095.0
alex,140582.0,468502.0,327920.0
alex,109478.0,62617.0,-46861.0
alex,140464.0,78100.0,-62364.0
alex,124874.0,124874.0,0.0
alex,109374.0,78090.0,-31284.0
alex,124991.0,62596.0,-62395.0
alex,171843.0,78118.0,-93725.0
alex,156079.0,140588.0,-15491.0
alex,171838.0,109356.0,-62482.0
alex,124963.0,187447.0,62484.0
alex,142963.0,142963.0,0.0
alex,140587.0,124990.0,-15597.0
alex,171823.0,140584.0,-31239.0
alex,78103.0,171819.0,93716.0
alex,78123.0,484279.0,406156.0
alex,109345.0,265546.0,156201.0
alex,124981.0,93742.0,-31239.0
alex,140581.0,109345.0,-31236.0
alex,93732.0,156215.0,62483.0
alex,93719.0,62481.0,-31238.0
alex,249941.0,140599.0,-109342.0
alex,124964.0,78103.0,-46861.0
alex,128831.0,316213.0,187382.0
alex,156186.0,140650.0,-15536.0
alex,124987.0,78123.0,-46864.0
alex,124959.0,140580.0,15621.0
alex,109361.0,124982.0,15621.0
alex,140459.0,124960.0,-15499.0
alex,140609.0,62500.0,-78109.0
alex,140587.0,437404.0,296817.0
alex,140581.0,109340.0,-31241.0
alex,109347.0,203080.0,93733.0
alex,78103.0,203079.0,124976.0
alex,124970.0,124970.0,0.0
alex,171721.0,234318.0,62597.0
alex,124964.0,140581.0,15617.0
alex,202982.0,124983.0,-77999.0
alex,140570.0,93717.0,-46853.0
alex,124976.0,140492.0,15516.0
alex,156305.0,109449.0,-46856.0
alex,124979.0,124979.0,0.0
alex,135748.0,135748.0,0.0
alex,124970.0,93862.0,-31108.0
alex,156085.0,93719.0,-62366.0
alex,124846.0,109362.0,-15484.0
alex,156203.0,171824.0,15621.0
alex,154616.0,100089.0,-54527.0
alex,111495.0,80115.0,-31380.0
alex,203200.0,109483.0,-93717.0
alex,140460.0,140460.0,0.0
alex,187580.0,140592.0,-46988.0
alex,203211.0,93729.0,-109482.0
alex,158738.0,321681.0,162943.0
alex,171838.0,109347.0,-62491.0
alex,77983.0,109344.0,31361.0
alex,124842.0,140461.0,15619.0
alex,140724.0,359428.0,218704.0
alex,62469.0,46855.0,-15614.0
alex,156220.0,78093.0,-78127.0
alex,156230.0,156230.0,0.0
alex,124977.0,203082.0,78105.0
alex,109335.0,93717.0,-15618.0
alex,124981.0,156224.0,31243.0
alex,109334.0,78102.0,-31232.0
alex,93652.0,171839.0,78187.0
alex,109338.0,249943.0,140605.0
alex,124954.0,203079.0,78125.0
alex,124964.0,234317.0,109353.0
alex,205328.0,142848.0,-62480.0
alex,140482.0,156196.0,15714.0
alex,203080.0,124984.0,-78096.0
alex,140602.0,577983.0,437381.0
alex,93738.0,156221.0,62483.0
alex,93714.0,93714.0,0.0
alex,93743.0,187476.0,93733.0
alex,93591.0,203072.0,109481.0
alex,93728.0,62480.0,-31248.0
alex,93600.0,62478.0,-31122.0
alex,124984.0,156224.0,31240.0
alex,93715.0,124873.0,31158.0
alex,125059.0,125059.0,0.0
alex,124848.0,78110.0,-46738.0
alex,124985.0,218703.0,93718.0
alex,109355.0,156223.0,46868.0
alex,109335.0,408518.0,299183.0
alex,105891.0,152761.0,46870.0
alex,124975.0,312431.0,187456.0
alex,127826.0,143313.0,15487.0
alex,78237.0,78237.0,0.0
alex,124838.0,312421.0,187583.0
alex,156222.0,211963.0,55741.0
alex,93868.0,156347.0,62479.0
alex,109219.0,78088.0,-31131.0
alex,109235.0,124889.0,15654.0
alex,187560.0,93820.0,-93740.0
alex,156222.0,593628.0,437406.0
alex,109340.0,109340.0,0.0
alex,124871.0,296811.0,171940.0
alex,156208.0,156208.0,0.0
alex,93738.0,203088.0,109350.0
alex,93710.0,296798.0,203088.0
alex,140577.0,421777.0,281200.0
alex,109345.0,187458.0,78113.0
alex,93703.0,77970.0,-15733.0
alex,140719.0,203210.0,62491.0
alex,156217.0,93730.0,-62487.0
alex,171818.0,93721.0,-78097.0
alex,140599.0,281178.0,140579.0
alex,124978.0,109223.0,-15755.0
alex,156342.0,93863.0,-62479.0
alex,93717.0,156217.0,62500.0
alex,124960.0,93724.0,-31236.0
alex,202942.0,124950.0,-77992.0
alex,124856.0,62506.0,-62350.0
alex,124964.0,93725.0,-31239.0
alex,78097.0,203110.0,125013.0
alex,234290.0,124926.0,-109364.0
alex,140606.0,93743.0,-46863.0
alex,156201.0,109342.0,-46859.0
alex,124979.0,296817.0,171838.0
alex,218686.0,140588.0,-78098.0
alex,93716.0,156190.0,62474.0
alex,124990.0,93750.0,-31240.0
alex,171839.0,109345.0,-62494.0
alex,140498.0,281190.0,140692.0
alex,124966.0,78104.0,-46862.0
alex,156079.0,109344.0,-46735.0
alex,124867.0,124867.0,0.0
alex,78220.0,140696.0,62476.0
alex,124875.0,109356.0,-15519.0
alex,124963.0,328051.0,203088.0
alex,109330.0,159426.0,50096.0
alex,125106.0,203215.0,78109.0
alex,109348.0,156213.0,46865.0
alex,124961.0,218698.0,93737.0
alex,109343.0,343668.0,234325.0
alex,124836.0,296799.0,171963.0
alex,62477.0,109357.0,46880.0
alex,109344.0,234217.0,124873.0
alex,187559.0,187559.0,0.0
alex,109349.0,171832.0,62483.0
alex,62477.0,156159.0,93682.0
alex,46918.0,125021.0,78103.0
alex,46864.0,124842.0,77978.0
alex,78240.0,265701.0,187461.0
alex,124961.0,124961.0,0.0
alex,109224.0,124966.0,15742.0
alex,140594.0,109354.0,-31240.0
alex,124840.0,296804.0,171964.0
alex,140602.0,249949.0,109347.0
alex,77968.0,249934.0,171966.0
alex,93602.0,203100.0,109498.0
alex,93697.0,93697.0,0.0
alex,171843.0,124982.0,-46861.0
alex,156203.0,359296.0,203093.0
alex,124966.0,140586.0,15620.0
alex,140458.0,124967.0,-15491.0
alex,203078.0,140597.0,-62481.0
alex,93720.0,109212.0,15492.0
alex,156348.0,156348.0,0.0
alex,93724.0,93724.0,0.0
alex,109356.0,124972.0,15616.0
alex,187357.0,109347.0,-78010.0
alex,140599.0,406163.0,265564.0
alex,140579.0,531125.0,390546.0
alex,124953.0,593603.0,468650.0
alex,77981.0,109357.0,31376.0
alex,156200.0,203059.0,46859.0
alex,156229.0,734201.0,577972.0
alex,93744.0,109361.0,15617.0
alex,140586.0,281193.0,140607.0
alex,31103.0,390535.0,359432.0
alex,109342.0,359288.0,249946.0
alex,93715.0,93715.0,0.0
alex,140612.0,77985.0,-62627.0
alex,109481.0,265595.0,156114.0
alex,125064.0,515604.0,390540.0
alex,124866.0,109342.0,-15524.0
alex,171704.0,109222.0,-62482.0
alex,109482.0,78238.0,-31244.0
alex,109342.0,109342.0,0.0
alex,93739.0,109356.0,15617.0
alex,124965.0,124965.0,0.0
alex,109355.0,78094.0,-31261.0
alex,142606.0,127084.0,-15522.0
alex,203085.0,140583.0,-62502.0
alex,124981.0,265564.0,140583.0
alex,171843.0,359166.0,187323.0
alex,140719.0,437540.0,296821.0
alex,78104.0,109337.0,31233.0
alex,187463.0,187463.0,0.0
alex,156203.0,468636.0,312433.0
alex,140490.0,124971.0,-15519.0
alex,109217.0,203080.0,93863.0
alex,187455.0,109339.0,-78116.0
alex,124984.0,93733.0,-31251.0
alex,124967.0,171827.0,46860.0
alex,124982.0,93739.0,-31243.0
alex,109342.0,109342.0,0.0
alex,124966.0,124966.0,0.0
alex,140595.0,93739.0,-46856.0
alex,124841.0,187461.0,62620.0
alex,187455.0,202936.0,15481.0
alex,125106.0,62627.0,-62479.0
alex,140574.0,798757.0,658183.0
alex,109337.0,124971.0,15634.0
alex,107183.0,216548.0,109365.0
alex,124964.0,281166.0,156202.0
alex,202955.0,124847.0,-78108.0
alex,125089.0,62568.0,-62521.0
alex,206789.0,144162.0,-62627.0
alex,156351.0,343806.0,187455.0
alex,31237.0,265559.0,234322.0
alex,62484.0,31240.0,-31244.0
alex,140599.0,218701.0,78102.0
alex,124963.0,140578.0,15615.0
alex,171847.0,109365.0,-62482.0
alex,140577.0,281054.0,140477.0
alex,93842.0,218831.0,124989.0
alex,124833.0,124833.0,0.0
alex,109486.0,125090.0,15604.0
alex,124977.0,93737.0,-31240.0
alex,249942.0,218703.0,-31239.0
alex,156221.0,499889.0,343668.0
